date	close	fakedate	year
18-Mar-14	46.94	18-Mar-14	2014
11-Mar-14	48.42	11-Mar-14	2014
4-Mar-14	51.15	4-Mar-14	2014
25-Feb-14	51.28	25-Feb-14	2014
18-Feb-14	52.01	18-Feb-14	2014
11-Feb-14	54.6	11-Feb-14	2014
4-Feb-14	56.85	4-Feb-14	2014
28-Jan-14	56.73	28-Jan-14	2014
21-Jan-14	54.56	21-Jan-14	2014
14-Jan-14	54.03	14-Jan-14	2014
7-Jan-14	54.21	7-Jan-14	2014
31-Dec-13	54.21	31-Dec-14	2013
24-Dec-13	54.21	24-Dec-14	2013
17-Dec-13	55.19	17-Dec-14	2013
10-Dec-13	55.19	10-Dec-14	2013
3-Dec-13	55.42	3-Dec-14	2013
26-Nov-13	55.42	26-Nov-14	2013
19-Nov-13	55.31	19-Nov-14	2013
12-Nov-13	49.72	12-Nov-14	2013
5-Nov-13	49.8	5-Nov-14	2013
29-Oct-13	51.42	29-Oct-14	2013
22-Oct-13	52.43	22-Oct-14	2013
15-Oct-13	54.86	15-Oct-14	2013
8-Oct-13	61.12	8-Oct-14	2013
1-Oct-13	70.13	1-Oct-14	2013
24-Sep-13	73.02	24-Sep-14	2013
17-Sep-13	74.06	17-Sep-14	2013
10-Sep-13	78.21	10-Sep-14	2013
3-Sep-13	76.4	3-Sep-14	2013
27-Aug-13	78.39	27-Aug-14	2013
20-Aug-13	72.7	20-Aug-14	2013
13-Aug-13	72.67	13-Aug-14	2013
6-Aug-13	76.05	6-Aug-14	2013
30-Jul-13	79.47	30-Jul-14	2013
23-Jul-13	80.14	23-Jul-14	2013
16-Jul-13	78.01	16-Jul-14	2013
9-Jul-13	75.86	9-Jul-14	2013
2-Jul-13	75.48	2-Jul-14	2013
25-Jun-13	75.66	25-Jun-14	2013
18-Jun-13	79.45	18-Jun-14	2013
11-Jun-13	79.7	11-Jun-14	2013
4-Jun-13	81.87	4-Jun-14	2013
28-May-13	84.64	28-May-14	2013
21-May-13	88.9	21-May-14	2013
14-May-13	92.48	14-May-14	2013
7-May-13	92.02	7-May-14	2013
30-Apr-13	92.28	30-Apr-14	2013
23-Apr-13	92.93	23-Apr-14	2013
16-Apr-13	92.9	16-Apr-14	2013
9-Apr-13	95.04	9-Apr-14	2013
2-Apr-13	95.04	2-Apr-14	2013
26-Mar-13	95.35	26-Mar-14	2013
19-Mar-13	95.35	19-Mar-14	2013
12-Mar-13	95.35	12-Mar-14	2013
5-Mar-13	95.35	5-Mar-14	2013
26-Feb-13	95.34	26-Feb-14	2013
19-Feb-13	94.99	19-Feb-14	2013
12-Feb-13	94.99	12-Feb-14	2013
5-Feb-13	95.21	5-Feb-14	2013
29-Jan-13	95.21	29-Jan-14	2013
22-Jan-13	95.21	22-Jan-14	2013
15-Jan-13	95.21	15-Jan-14	2013
8-Jan-13	95.22	8-Jan-14	2013
1-Jan-13	98.46	1-Jan-14	2013
25-Dec-12	98.46	25-Dec-14	2012
18-Dec-12	98.46	18-Dec-14	2012
11-Dec-12	98.46	11-Dec-14	2012
4-Dec-12	98.8	4-Dec-14	2012
27-Nov-12	98.8	27-Nov-14	2012
20-Nov-12	98.8	20-Nov-14	2012
13-Nov-12	98.8	13-Nov-14	2012
6-Nov-12	99.97	6-Nov-14	2012
30-Oct-12	100	30-Oct-14	2012
23-Oct-12	100	23-Oct-14	2012
16-Oct-12	100	16-Oct-14	2012
9-Oct-12	100	9-Oct-14	2012
2-Oct-12	100	2-Oct-14	2012
25-Sep-12	100	25-Sep-14	2012
18-Sep-12	100	18-Sep-14	2012
11-Sep-12	100	11-Sep-14	2012
4-Sep-12	99.06	4-Sep-14	2012
28-Aug-12	98.75	28-Aug-14	2012
21-Aug-12	95.69	21-Aug-14	2012
14-Aug-12	95.52	14-Aug-14	2012
7-Aug-12	97.64	7-Aug-14	2012
31-Jul-12	97.64	31-Jul-14	2012
24-Jul-12	97.68	24-Jul-14	2012
17-Jul-12	96.48	17-Jul-14	2012
10-Jul-12	93.86	10-Jul-14	2012
3-Jul-12	91.28	3-Jul-14	2012
26-Jun-12	83.93	26-Jun-14	2012
19-Jun-12	81.47	19-Jun-14	2012
