county_orig	county_clean	state_clean	count	match	fips	error	err2	
LARAMIE(WY)	LARAMIE	WY	9	LARAMIE-WY	72021	FALSE	0	
NATRONA(WY)	NATRONA	WY	6	NATRONA-WY	04025	FALSE	0	
SHERIDAN(WY)	SHERIDAN	WY	4	SHERIDAN-WY	20033	FALSE	0	
ALBANY(WY)	ALBANY	WY	2	ALBANY-WY	51001	FALSE	0	
CAMPBELL(WY)	CAMPBELL	WY	2	CAMPBELL-WY	72005	FALSE	0	
TETON(WY)	TETON	WY	2	TETON-WY	29039	FALSE	0	
PARK(WY)	PARK	WY	1	PARK-WY	18029	FALSE	0	
SUBLETTE(WY)	SUBLETTE	WY	1	SUBLETTE-WY	51035	FALSE	0	
SWEETWATER(WY)	SWEETWATER	WY	1	SWEETWATER-WY	27037	FALSE	0	
WESTON(WY)	WESTON	WY	1	WESTON-WY	54045	FALSE	0	
KANAWHA(WV)	KANAWHA	WV	28	KANAWHA-WV	27039	FALSE	0	
CABELL(WV)	CABELL	WV	22	CABELL-WV	72011	FALSE	0	
HARRISON(WV)	HARRISON	WV	21	HARRISON-WV	51033	FALSE	0	
LOGAN(WV)	LOGAN	WV	14	LOGAN-WV	72045	FALSE	0	
RALEIGH(WV)	RALEIGH	WV	12	RALEIGH-WV	29081	FALSE	0	
WOOD(WV)	WOOD	WV	11	WOOD-WV	19107	FALSE	0	
MERCER(WV)	MERCER	WV	7	MERCER-WV	13055	FALSE	0	
FAYETTE(WV)	FAYETTE	WV	5	FAYETTE-WV	47019	FALSE	0	
MARION(WV)	MARION	WV	5	MARION-WV	06049	FALSE	0	
MCDOWELL(WV)	MCDOWELL	WV	5	MCDOWELL-WV	13047	FALSE	0	
MINGO(WV)	MINGO	WV	5	MINGO-WV	16059	FALSE	0	
MONONGALIA(WV)	MONONGALIA	WV	5	MONONGALIA-WV	01061	FALSE	0	
NICHOLAS(WV)	NICHOLAS	WV	5	NICHOLAS-WV	27067	FALSE	0	
PRESTON(WV)	PRESTON	WV	4	PRESTON-WV	55077	FALSE	0	
WYOMING(WV)	WYOMING	WV	4	WYOMING-WV	51109	FALSE	0	
BOONE(WV)	BOONE	WV	3	BOONE-WV	48005	FALSE	0	
BRAXTON(WV)	BRAXTON	WV	3	BRAXTON-WV	48007	FALSE	0	
DODDRIDGE(WV)	DODDRIDGE	WV	3	DODDRIDGE-WV	13017	FALSE	0	
GREENBRIER(WV)	GREENBRIER	WV	3	GREENBRIER-WV	01025	FALSE	0	
JACKSON(WV)	JACKSON	WV	3	JACKSON-WV	51035	FALSE	0	
LEWIS(WV)	LEWIS	WV	3	LEWIS-WV	51041	FALSE	0	
